Time (s),Channel 1 (V),Channel 2 (V),Id
1.66796875,-0.664274277,-0.001009947,-1.00995E-06
1.66859375,-0.662605909,-0.001009947,-1.00995E-06
1.66921875,-0.661604889,-0.001009947,-1.00995E-06
1.66984375,-0.660270194,-0.001009947,-1.00995E-06
1.67046875,-0.6589355,-0.001009947,-1.00995E-06
1.67109375,-0.658268153,-0.001009947,-1.00995E-06
1.67171875,-0.656933459,-0.001009947,-1.00995E-06
1.67234375,-0.655932438,-0.001009947,-1.00995E-06
1.67296875,-0.654597744,-0.001009947,-1.00995E-06
1.67359375,-0.653263049,-0.001009947,-1.00995E-06
1.67421875,-0.651928355,-0.001009947,-1.00995E-06
1.67484375,-0.650927334,-0.001009947,-1.00995E-06
1.67546875,-0.64959264,-0.001009947,-1.00995E-06
1.67609375,-0.648257946,-0.001009947,-1.00995E-06
1.67671875,-0.646923251,-0.001009947,-1.00995E-06
1.67734375,-0.645922231,-0.001009947,-1.00995E-06
1.67796875,-0.644587536,-0.001009947,-1.00995E-06
1.67859375,-0.643252842,-0.001009947,-1.00995E-06
1.67921875,-0.642251821,-0.001009947,-1.00995E-06
1.67984375,-0.640917127,-0.001009947,-1.00995E-06
1.68046875,-0.639582433,-0.001009947,-1.00995E-06
1.68109375,-0.638247738,-0.001009947,-1.00995E-06
1.68171875,-0.636913044,-0.001009947,-1.00995E-06
1.68234375,-0.635912023,-0.001009947,-1.00995E-06
1.68296875,-0.634243656,-0.001009947,-1.00995E-06
1.68359375,-0.632908961,-0.001009947,-1.00995E-06
1.68421875,-0.631907941,-0.001009947,-1.00995E-06
1.68484375,-0.630573246,-0.001009947,-1.00995E-06
1.68546875,-0.629572226,-0.001009947,-1.00995E-06
1.68609375,-0.628237531,-0.001009947,-1.00995E-06
1.68671875,-0.626902837,-0.001009947,-1.00995E-06
1.68734375,-0.625568143,-0.001009947,-1.00995E-06
1.68796875,-0.624233448,-0.001009947,-1.00995E-06
1.68859375,-0.623232428,-0.001009947,-1.00995E-06
1.68921875,-0.621897733,-0.001009947,-1.00995E-06
1.68984375,-0.620563039,-0.001009947,-1.00995E-06
1.69046875,-0.619228345,-0.001009947,-1.00995E-06
1.69109375,-0.618560998,-0.001009947,-1.00995E-06
1.69171875,-0.61689263,-0.001009947,-1.00995E-06
1.69234375,-0.615891609,-0.001009947,-1.00995E-06
1.69296875,-0.614223241,-0.001009947,-1.00995E-06
1.69359375,-0.612888547,-0.001009947,-1.00995E-06
1.69421875,-0.611887526,-0.001009947,-1.00995E-06
1.69484375,-0.610552832,-0.001009947,-1.00995E-06
1.69546875,-0.609218138,-0.001009947,-1.00995E-06
1.69609375,-0.608217117,-0.001009947,-1.00995E-06
1.69671875,-0.606882423,-0.001009947,-1.00995E-06
1.69734375,-0.605881402,-0.001346084,-1.34608E-06
1.69796875,-0.604213034,-0.001009947,-1.00995E-06
1.69859375,-0.603212013,-0.001009947,-1.00995E-06
1.69921875,-0.601877319,-0.001009947,-1.00995E-06
1.69984375,-0.600542625,-0.001346084,-1.34608E-06
1.70046875,-0.599207931,-0.001346084,-1.34608E-06
1.70109375,-0.597873236,-0.001009947,-1.00995E-06
1.70171875,-0.596872216,-0.001009947,-1.00995E-06
1.70234375,-0.595537521,-0.001009947,-1.00995E-06
1.70296875,-0.594202827,-0.001009947,-1.00995E-06
1.70359375,-0.592868133,-0.001009947,-1.00995E-06
1.70421875,-0.591533438,-0.001009947,-1.00995E-06
1.70484375,-0.590198744,-0.001009947,-1.00995E-06
1.70546875,-0.589197723,-0.001009947,-1.00995E-06
1.70609375,-0.587863029,-0.001009947,-1.00995E-06
1.70671875,-0.586528335,-0.001009947,-1.00995E-06
1.70734375,-0.585527314,-0.001009947,-1.00995E-06
1.70796875,-0.58419262,-0.001009947,-1.00995E-06
1.70859375,-0.582857926,-0.001009947,-1.00995E-06
1.70921875,-0.581856905,-0.001009947,-1.00995E-06
1.70984375,-0.580522211,-0.001009947,-1.00995E-06
1.71046875,-0.579187516,-0.001009947,-1.00995E-06
1.71109375,-0.578186496,-0.001009947,-1.00995E-06
1.71171875,-0.576851801,-0.001009947,-1.00995E-06
1.71234375,-0.575517107,-0.001009947,-1.00995E-06
1.71296875,-0.574516086,-0.001009947,-1.00995E-06
1.71359375,-0.572514045,-0.001009947,-1.00995E-06
1.71421875,-0.571513024,-0.001009947,-1.00995E-06
1.71484375,-0.57017833,-0.001009947,-1.00995E-06
1.71546875,-0.569177309,-0.001009947,-1.00995E-06
1.71609375,-0.567842615,-0.001009947,-1.00995E-06
1.71671875,-0.566507921,-0.001009947,-1.00995E-06
1.71734375,-0.5655069,-0.001009947,-1.00995E-06
1.71796875,-0.564172206,-0.001009947,-1.00995E-06
1.71859375,-0.562837511,-0.001009947,-1.00995E-06
1.71921875,-0.561502817,-0.001009947,-1.00995E-06
1.71984375,-0.560168123,-0.001009947,-1.00995E-06
1.72046875,-0.559167102,-0.001009947,-1.00995E-06
1.72109375,-0.557832408,-0.001009947,-1.00995E-06
1.72171875,-0.556497713,-0.001009947,-1.00995E-06
1.72234375,-0.555496693,-0.001009947,-1.00995E-06
1.72296875,-0.554161998,-0.001009947,-1.00995E-06
1.72359375,-0.552493631,-0.001009947,-1.00995E-06
1.72421875,-0.55149261,-0.001009947,-1.00995E-06
1.72484375,-0.550157916,-0.001009947,-1.00995E-06
1.72546875,-0.549156895,-0.001009947,-1.00995E-06
1.72609375,-0.547822201,-0.001009947,-1.00995E-06
1.72671875,-0.546487506,-0.001009947,-1.00995E-06
1.72734375,-0.545486486,-0.001009947,-1.00995E-06
1.72796875,-0.544151791,-0.001009947,-1.00995E-06
1.72859375,-0.542817097,-0.001009947,-1.00995E-06
1.72921875,-0.54214975,-0.001009947,-1.00995E-06
1.72984375,-0.540815056,-0.001009947,-1.00995E-06
1.73046875,-0.539480361,-0.001009947,-1.00995E-06
1.73109375,-0.538145667,-0.001009947,-1.00995E-06
1.73171875,-0.536810973,-0.001009947,-1.00995E-06
1.73234375,-0.535809952,-0.001009947,-1.00995E-06
1.73296875,-0.534141584,-0.001009947,-1.00995E-06
1.73359375,-0.533140563,-0.001009947,-1.00995E-06
1.73421875,-0.531472196,-0.001009947,-1.00995E-06
1.73484375,-0.530471175,-0.001009947,-1.00995E-06
1.73546875,-0.529136481,-0.001009947,-1.00995E-06
1.73609375,-0.52813546,-0.001009947,-1.00995E-06
1.73671875,-0.526467092,-0.001009947,-1.00995E-06
1.73734375,-0.525466071,-0.001009947,-1.00995E-06
1.73796875,-0.524131377,-0.001009947,-1.00995E-06
1.73859375,-0.523130356,-0.001009947,-1.00995E-06
1.73921875,-0.522129336,-0.001009947,-1.00995E-06
1.73984375,-0.520794641,-0.001009947,-1.00995E-06
1.74046875,-0.519459947,-0.001009947,-1.00995E-06
1.74109375,-0.518125253,-0.001009947,-1.00995E-06
1.74171875,-0.516790558,-0.001009947,-1.00995E-06
1.74234375,-0.515789538,-0.001009947,-1.00995E-06
1.74296875,-0.514454843,-0.001009947,-1.00995E-06
1.74359375,-0.513120149,-0.001009947,-1.00995E-06
1.74421875,-0.511785455,-0.001009947,-1.00995E-06
1.74484375,-0.51045076,-0.001009947,-1.00995E-06
1.74546875,-0.509116066,-0.001009947,-1.00995E-06
1.74609375,-0.508115045,-0.001009947,-1.00995E-06
1.74671875,-0.506446678,-0.001009947,-1.00995E-06
1.74734375,-0.505445657,-0.001009947,-1.00995E-06
1.74796875,-0.504110963,-0.001009947,-1.00995E-06
1.74859375,-0.503109942,-0.001009947,-1.00995E-06
1.74921875,-0.502108921,-0.001009947,-1.00995E-06
1.74984375,-0.500440553,-0.001009947,-1.00995E-06
1.75046875,-0.499439533,-0.001009947,-1.00995E-06
1.75109375,-0.498104838,-0.001009947,-1.00995E-06
1.75171875,-0.496770144,-0.001009947,-1.00995E-06
1.75234375,-0.495769123,-0.001009947,-1.00995E-06
1.75296875,-0.494100755,-0.001009947,-1.00995E-06
1.75359375,-0.493099735,-0.001009947,-1.00995E-06
1.75421875,-0.49176504,-0.001009947,-1.00995E-06
1.75484375,-0.490096673,-0.001009947,-1.00995E-06
1.75546875,-0.489429325,-0.001009947,-1.00995E-06
1.75609375,-0.487760958,-0.001009947,-1.00995E-06
1.75671875,-0.486426263,-0.001009947,-1.00995E-06
1.75734375,-0.485425243,-0.001009947,-1.00995E-06
1.75796875,-0.484090548,-0.001009947,-1.00995E-06
1.75859375,-0.482755854,-0.001009947,-1.00995E-06
1.75921875,-0.481754833,-0.001009947,-1.00995E-06
1.75984375,-0.480420139,-0.001009947,-1.00995E-06
1.76046875,-0.479419118,-0.001009947,-1.00995E-06
1.76109375,-0.478084424,-0.001009947,-1.00995E-06
1.76171875,-0.47674973,-0.001009947,-1.00995E-06
1.76234375,-0.475415035,-0.001009947,-1.00995E-06
1.76296875,-0.474080341,-0.001009947,-1.00995E-06
1.76359375,-0.47307932,-0.001009947,-1.00995E-06
1.76421875,-0.471410953,-0.001009947,-1.00995E-06
1.76484375,-0.470076258,-0.001009947,-1.00995E-06
1.76546875,-0.469075238,-0.001009947,-1.00995E-06
1.76609375,-0.467740543,-0.001009947,-1.00995E-06
1.76671875,-0.466405849,-0.001009947,-1.00995E-06
1.76734375,-0.465071155,-0.001009947,-1.00995E-06
1.76796875,-0.464070134,-0.001009947,-1.00995E-06
1.76859375,-0.46273544,-0.001009947,-1.00995E-06
1.76921875,-0.461734419,-0.001009947,-1.00995E-06
1.76984375,-0.460399725,-0.001009947,-1.00995E-06
1.77046875,-0.45906503,-0.001009947,-1.00995E-06
